description,prerequisites,number,credits,department,name
,,8820,(1-6),ACCT,) Graduate Seminar
Instructor consent required and departmental form (taught as doctoral seminar). Requisites: Restricted to Business (BUSN) graduate students only.,Requisites: Restricted to Business (BUSN) graduate students only.,8900,(1-3),ACCT,) Independent Study
Requisites: Restricted to Business (BUSN) graduate students only.,Requisites: Restricted to Business (BUSN) graduate students only.,8990,(1-10),ACCT,) Doctoral Thesis
"Introduces UNIX (Linux) system administration and related topics, including trouble-shooting system and network problems, hardware and software configuration and installation, basic scripting, and security aspects of Internet hosts. Students build a Linux server from the ground up, using provided computing resources, and must maintain and secure the server themselves.  Recommended prereq., CSCI 3308. Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C-).",Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C-).,4113,(3),CSCI,) Unix System Administration
"Intended to create a foundation for operating systems research or advanced professional practice. Examines the design and implementation of a number of research and commercial operating systems and their components, system organization and structure, threads, communication and synchronization, virtual memory, distribution, file systems, security and authentication, availability, and Internet services. Department enforced prereq., equivalent undergraduate coursework in operating systems and computer architecture, or instructor consent. Same as ECEN 5573. Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5573,(3),CSCI,) Advanced Operating Systems
First of a two-course sequence intended to provide students with increased fluency in the language of business. Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information. Requisites: Requires prerequisite courses of BCOR 2000 and BCOR 2200 or BCOR 2002 (all minimum grade D-). Restricted to Business (BUSN) majors with 52-180 units completed.,Requisites: Requires prerequisite courses of BCOR 2000 and BCOR 2200 or BCOR 2002 (all minimum grade D-). Restricted to Business (BUSN) majors with 52-180 units completed.,3220,(3),ACCT,) Corporate Financial Reporting 1
"Intended to provide students with increased fluency in the language of business.  Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information.  Builds and extends detailed knowledge of preparation, analysis, and use of financial statements.  No credit given for this course if ACCT 3220 or ACCT 3230 have been taken. Requisites: Requires prerequisite courses of BCOR 2000 and BCOR 2200 or BCOR 2002 (all minimum grade D-). Restricted to Business (BUSN) majors with 52-180 units completed.",Requisites: Requires prerequisite courses of BCOR 2000 and BCOR 2200 or BCOR 2002 (all minimum grade D-). Restricted to Business (BUSN) majors with 52-180 units completed.,3225,(6),ACCT,) Corporate Financial Reporting
"Studies design, analysis, and implementation of computer graphics techniques. Topics include interactive techniques, 2D and 3D viewing, clipping, segmentation, translation, rotation, and projection. Also involves removal of hidden edges, shading, and color.  Knowledge of basic linear algebra is required.  Same as CSCI 5229. Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-).",Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-).,4229,(3),CSCI,) Computer Graphics
"Studies design, analysis and implementation of advanced computer graphics techniques. Topics include shaders, using the GPU for high performance computing, graphics programming on embedded devices such as mobile phones; advanced graphics techniques such as ray tracing. Same as CSCI 5239. Requisites: Requires prerequisite course of CSCI 4229 (minimum grade C-).",Requisites: Requires prerequisite course of CSCI 4229 (minimum grade C-).,4239,(3),CSCI,) Advanced Computer Graphics
"Introduces computing systems, software, and methods used to solve large-scale problems in science and engineering. Students use high-performance workstations and a supercomputer. First course in a two-semester sequence. Same as CSCI 4576. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5576,(4),CSCI,) High-Performance Scientific Computing
"Provides a broad-scope treatment of important concepts in the design and implementation of high-performance computer systems. Discusses important issues in the pipelining of a machine and the design of cache memory systems. Also studies current and historically important computer architectures. Recommended prereq., CSCI 4593 or instructor consent required. Same as ECEN 5593. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5593,(3),CSCI,) Advanced Computer Architecture
"Highlights computer arithmetic, solution of linear systems, least-squares approximations, nonlinear algebraic equations, interpolation, and quadrature. Recommended prereqs., CSCI 3656 and three semesters of calculus, or equivalent. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5606,(3),CSCI,) Principles of Numerical Computation
"Same as ACCT 4820. Requisites: Requires prerequisite course of ACCT 3230 (minimum grade D-).  Restricted to Acct (ACCT), Accounting Taxation (ACTX) or Business Administration (BUAD) graduate students or Finance/Acct (FNCEACCT) or ACCT Concurrent Degree students only.","Requisites: Requires prerequisite course of ACCT 3230 (minimum grade D-).  Restricted to Acct (ACCT), Accounting Taxation (ACTX) or Business Administration (BUAD) graduate students or Finance/Acct (FNCEACCT) or ACCT Concurrent Degree students only.",5820,(3),ACCT,) Topics in Business
"Explores the growing global trend of companies to measure, disclose and report for socially responsible initiatives.  Integrated reporting combines financial, environmental, social and governance information into a single report.  Current practices in sustainability and integrated reporting in the US and across the world will be examined/learned through case studies, guest speakers, current literature and projects.  Can be taken concurrently with BCOR 3010 and ACCT 3220.  Same as ACCT 4827. Requisites: Restricted to Accounting, Finance/Accounting, Information Systems/Accounting, Systems/Accounting Concurrent Degree students or Accounting, Accounting/Taxation or Business Administration (BUAD) graduate students only.","Requisites: Restricted to Accounting, Finance/Accounting, Information Systems/Accounting, Systems/Accounting Concurrent Degree students or Accounting, Accounting/Taxation or Business Administration (BUAD) graduate students only.",5827,(3),ACCT,) Integrated Reporting for Socially Responsible Strategies
"Second in a two-course sequence building and extending detailed knowledge of preparation, analysis, and use of financial statements. Requisites: Requires a prerequisite course of ACCT 3220 (minimum grade D-).  Restricted to Business (BUSN) majors with 52-180 units completed.",Requisites: Requires a prerequisite course of ACCT 3220 (minimum grade D-).  Restricted to Business (BUSN) majors with 52-180 units completed.,3230,(3),ACCT,) Corporate Financial Reporting 2
"Provides cost analysis for the support of management decision making. Analyzes activities, cost behavior, role of accounting in planning, financial modeling,and managerial uses of cost data. Requisites: Requires prerequisite courses of BCOR 2000 and BCOR 2200 or BCOR 2002 (all minimum grade D-). Restricted to Business (BUSN) majors with 52-180 units completed.",Requisites: Requires prerequisite courses of BCOR 2000 and BCOR 2200 or BCOR 2002 (all minimum grade D-). Restricted to Business (BUSN) majors with 52-180 units completed.,3320,(3),ACCT,) Cost Management
"Explores the ""great works"" of computer science through intensive reading and discussion. Readings include works by Babbage, Turing, Von Neumann, Goedel, Shannon and Minsky, among others. Same as CSCI 5250. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,4250,(3),CSCI,) Computer Science: the Canon
"Covers the primary problem solving strategies, methods and tools needed for data-intensive programs using large collections of computers typically called ""warehouse scale"" or ""data-center scale"" computers. The course examines methods and algorithms for processing data-intensive applications, methods for deploying and managing large collections of computers in an on-demand infrastructure and issues of large-scale computer system design. Recommended prerequisite: CSCI 4273/5273. Same as CSCI 5253. Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C). Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C). Restricted to students with 57-180 credits (Juniors or Seniors).,4253,(3),CSCI,") Datacenter Scale Computing - Methods, Systems and Techniques"
"Focuses on design and implementation of network programs and systems, including topics in network protocols, file transfer, client-server computing, remote procedure call, and other contemporary network system design and programming techniques. Familiarity with C and Unix is required. Same as CSCI 5273 and ECEN 5273. Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C-).",Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C-).,4273,(3),CSCI,) Network Systems
"Presents topics and techniques critical to the management of software product development, including estimating, planning, quality, tracking, reporting, team organization, people management, and legal issues. Gives special attention to problems unique to software projects. Recommended prereqs., ECEN 4583, CSCI 5548 and 4318, or equivalent industrial experience. Same as ECEN 5603 and EMEN 5031. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5608,(3),CSCI,) Software Project Management
"Trains students to build computer systems that learn from experience. Includes the three main subfields: supervised learning, reinforcement learning and unsupervised learning. Emphasizes practical and theoretical understanding of the most widely used algorithms (neural networks, decision trees, support vector machines, Q-learning). Covers connections to data mining and statistical modeling. A strong foundation in probability, statistics, multivariate calculus, and linear algebra is highly recommended. Requisites: Requires prerequisite courses of CSCI 2400 and CSCI 3104 (all minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Requires prerequisite courses of CSCI 2400 and CSCI 3104 (all minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5622,(3),CSCI,) Machine Learning
"Focuses on finite difference solution for partial differential equations, methods of SoR, ADI, conjugate gradients, finite element method, nonlinear problems, and applications. Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.only.",Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.only.,5636,(3),CSCI,) Numerical Solution of Partial Differential Equations
"Offers direct and iterative solutions of linear systems. Also covers eigen value and eigenvector calculations, error analysis, and reduction by orthogonal transformation. A sound knowledge of basic linear algebra, experience with numerical computation, and programming experience is required. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5646,(3),CSCI,) Numerical Linear Algebra
,,5828,(3),ACCT,) Experimental Seminar: AIS Audit
"Focuses on emerging financial reporting issues in the United States and Internationally. Requisites: Requires prerequisite course of ACCT 3230 (min grade D-). Restricted to Accounting, Finance/Accounting, Info Systems/Accounting, Systems/Accounting Concurrent Degree students or Accounting, Accounting/Taxation or Business Admin (BUAD) grad students only.","Requisites: Requires prerequisite course of ACCT 3230 (min grade D-). Restricted to Accounting, Finance/Accounting, Info Systems/Accounting, Systems/Accounting Concurrent Degree students or Accounting, Accounting/Taxation or Business Admin (BUAD) grad students only.",5830,(3),ACCT,) Experimental Seminar: Recent Developments in Financial Reporting
"Introduces curriculum, learning techniques, time management and career opportunities in Computer Science. Includes presentations from alumni and others with relevant educational and professional experience.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Requisites: Restricted to students with 0-26 credits (Freshmen) Computer Science (CSEN-BS, CSEN-ADL, CSCI-BA or CSCI-ADL) majors only.","Requisites: Restricted to students with 0-26 credits (Freshmen) Computer Science (CSEN-BS, CSEN-ADL, CSCI-BA or CSCI-ADL) majors only.",1000,(1),CSCI,) Computer Science as a Field of Work and Study
,,1220,(4),CSCI,) Virtual Worlds: An Introduction to Computer Science
"Examines concepts and structure of the United States income tax system. Focuses on concepts affecting all taxpayers, with emphasis on individual taxation. Requisites: Requires a prerequisite course of BCOR 2000  or 2002 (minimum grade D-).  Restricted to Accounting (ACCT) or Finance (FNCE) majors with 52-180 units completed.",Requisites: Requires a prerequisite course of BCOR 2000  or 2002 (minimum grade D-).  Restricted to Accounting (ACCT) or Finance (FNCE) majors with 52-180 units completed.,3440,(3),ACCT,) Income Taxation of Individuals
"This London-based global seminar introduces undergraduate students to transfer pricing, International Financial Reporting Standards (IFRS) and the impact of foreign exchange rates on financial reporting. The seminar includes an IASB headquarter experience and presentations from multinational corporations and public accounting firms. It also includes experiential-based accounting learning in continental Europe. Requisites: Requires a prerequisite course of ACCT 3220 (minimum grade D-). Restricted to Business (BUSN) majors only.",Requisites: Requires a prerequisite course of ACCT 3220 (minimum grade D-). Restricted to Business (BUSN) majors only.,3700,(3),ACCT,) Accounting in a Global Economy
Exposes students to current research topics in the field of robotics and provides hands-on experience in solving a grand challenge program. Same as CSCI 5302. Requisites: Requires prerequisite course of CSCI 3302 (minimum grade C-).,Requisites: Requires prerequisite course of CSCI 3302 (minimum grade C-).,4302,(3),CSCI,) Advanced Robotics
"Advanced practicum in which students design, implement, document and test software systems for use in industry, non-profits, government and research institutions. Also offers extensive experience in oral and written communication throughout the development process.  Department enforced restriction, successful completion of a minimum of 36 credit hours of Computer Science coursework and approved WRTG are required to enroll. Recommended prereq., CSCI 4448. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.",4308,(4),CSCI,) Software Engineering Project 1
"Surveys molecular biology and combinatorial algorithms used to understand DNA, RNA, and proteins. Students work in groups to define and tackle meaningful biological problems and learn to collaborate effectively with scientists in other disciplines. Recommended prereq., comfort with mathematics and/or programming experience, and more advanced understanding (upper undergraduate level) of any relevant discipline. Same as CSCI 5314, MCDB 4314 and MCDB 5314. Requisites: Requires a prerequisite course of CSCI 3104 (minimum grade C-).",Requisites: Requires a prerequisite course of CSCI 3104 (minimum grade C-).,4314,(3),CSCI,) Algorithms for Molecular Biology
"Presents algorithms, simplex, and modifications. Examines theory---duality and complementary slackness. Involves network flow algorithms. Introduces integer programming. Department enforced prereq., linear algebra. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5654,(3),CSCI,) Linear Programming
"Examines systems that span multiple autonomous computers. Topics include system structuring techniques, scalability, heterogeneity, fault tolerance, load sharing, distributed file and information systems, naming, directory services, resource discovery, resource and network management, security, privacy, ethics, and social issues. Recommended prereqs., CSCI 5573 or a course in computer networks. Same as ECEN 5673. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5673,(3),CSCI,) Distributed Systems
"Explores context-free languages: pumping lemma and variants, closure properties, and decision properties. Involves parsing algorithms, including general and special languages, e.g., LR. Additional topics chosen by instructor. Recommended prereq., CSCI 5444 or instructor consent required. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5714,(3),CSCI,) Formal Languages
"Explores algorithms that can extract information about the world from images or sequences of images. Topics covered include: imaging models and camera calibration, early vision (filters, edges, texture, stereo, optical flow), mid-level vision (segmentation, tracking), vision-based control, and object recognition. Recommended prereq., probability, multivariate calculus, and linear algebra. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5722,(3),CSCI,) Computer Vision
"Interdisciplinary introduction to cognitive science, examining ideas from cognitive psychology, philosophy, education, and linguistics via computational modeling and psychological experimentation. Includes philosophy of mind; learning; categorization; vision and mental imagery; consciousness; problem solving; decision making, and game-theory; language processing; connectionism. Department enforced prereqs., graduate standing or at least one course at the 3000-level or higher in Computer Science, Linguistics, Philosophy or Psychology. No background in Computer Science will be presumed. Same as EDUC 6504, LING 6200, PHIL 6310, and PSYC 6200. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6402,(3),CSCI,) Issues and Methods in Cognitive Science
Provides opportunities for independent study at the upper-division undergraduate level. Students work on a small research problem or tutor lower-division computer science students. Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 (all minimum grade C-).,Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 (all minimum grade C-).,4900,(1-3),CSCI,") Upper Division, Undergraduate Level Independent Study"
"Offers students the opportunity to gain professional work experience in an accounting or tax position while still in school. Provides academically relevant work experience that complements students' studies and enhances their career potential. Includes lectures and a course paper. Students may not preregister for  this course, and they must contact the Director of the concurrent degree program in accounting for approval. Department enforced prereqs., at least 90 credit hours of course work and a minimum GPA of 3.00.  Instructor consent required. Requisites: Requires prerequisite course of ACCT 3230 (minimum grade D-).  Restricted to Acct (ACCT), Accounting Taxation (ACTX) or Business Administration (BUAD) graduate students or Finance/Acct (FNCEACCT) or ACCT Concurrent Degree students only.","Requisites: Requires prerequisite course of ACCT 3230 (minimum grade D-).  Restricted to Acct (ACCT), Accounting Taxation (ACTX) or Business Administration (BUAD) graduate students or Finance/Acct (FNCEACCT) or ACCT Concurrent Degree students only.",6000,(1-4),ACCT,) Academic Internship in Accounting
Provides an in-depth study of the concepts underlying contemporary financial accounting practice. Includes preparation and analysis of financial statements and the application of concepts to selected current issues. Students with credit for ACCT 3220 and 3230 or equivalents may not receive credit for ACCT 6220.  Same as MBAX 6700. Requisites: Requires prerequisite course of MBAC 6020 (minumum grade D-).,Requisites: Requires prerequisite course of MBAC 6020 (minumum grade D-).,6220,(3),ACCT,) Corporate Financial Reporting
,,1240,(3),CSCI,) The Computational World
Teaches techniques for writing computer programs in higher level programming languages to solve problems of interest in a range of application domains. This class is intended for students with little to no experience in computing or programming. Credit not granted for this class and CSCI 1310 or CSCI 1320 or ECEN 1310. Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).,Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).,1300,(4),CSCI,) Computer Science 1: Starting Computing
"Intended for students with some prior experience in programming and basic knowledge of variables, conditionals, and loops. Teaches techniques for writing computer programs in higher level programming languages to solve problems of interest in a range of application domains. Credit not granted for this course and CSCI 1300  or CSCI 1320 or ECEN 1310. Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).",Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).,1310,(4),CSCI,) Computer Science 1: Starting Computing - Experienced
"Intended for students with no prior experience in programming. Class outcomes and goals are identical to CSCI 1300, but uses problems and tools from Engineering. Teaching techniques for writing computer programs in higher level programming languages to solve problems of interest in Engineering and other domains. Credit not granted for this course and CSCI 1300 or CSCI 1310 or ECEN 1310. Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-). Restricted to College of Engineering or Computer Science (CSEN) or Pre-Engineering Arts and Science (PREN) majors only.",Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-). Restricted to College of Engineering or Computer Science (CSEN) or Pre-Engineering Arts and Science (PREN) majors only.,1320,(4),CSCI,) Computer Science 1: Starting Computing-Engineering Applications
"Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships. Same as ACCT 5240. Requisites: Requires prerequiste course of ACCT 3220 and ACCT 3230 or ACCT 3225 (minimum grade D-).  Restricted to Accounting (ACCT) or Finance (FNCE) majors with 52-180 units completed.",Requisites: Requires prerequiste course of ACCT 3220 and ACCT 3230 or ACCT 3225 (minimum grade D-).  Restricted to Accounting (ACCT) or Finance (FNCE) majors with 52-180 units completed.,4240,(3),ACCT,) Advanced Financial Accounting
"Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes equity valuation and risk analysis. Requisites: Requires a prerequisite course of ACCT 3220 or 3225 (minimum grade D-).  Restricted to Accounting (ACCT), Finance (FNCE) or Accounting Concurrent Degree majors only with 52-180 units completed.","Requisites: Requires a prerequisite course of ACCT 3220 or 3225 (minimum grade D-).  Restricted to Accounting (ACCT), Finance (FNCE) or Accounting Concurrent Degree majors only with 52-180 units completed.",4250,(3),ACCT,) Financial Statement Analysis
Second semester of an advanced practicum in computer science. Students must take CSCI 4308 and 4318 contiguously as the project spans the entire academic year. Requisites: Requires prerequisite course of CSCI 4308 (minimum grade C-).,Requisites: Requires prerequisite course of CSCI 4308 (minimum grade C-).,4318,(4),CSCI,) Software Engineering Project 2
"Review software project management and discuss the latest approaches, methodologies and standards of software development. Learn to develop software quality, documentation, testing, and prototype goals. Study project risk management and cost estimation approaches. Experience mentoring Senior Software Project Team. This course is intended for professional software developers. Department consent required. See Senior Project Director for permission. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.",4328,(4),CSCI,) Software Project Management and Mentoring
"Review software project management and discuss the latest approaches, methodologies and standards of software development. Learn to develop software quality, documentation, testing, and prototype goals. Study project risk management and cost estimation approaches. This course is intended for double majors doing interdisciplinary projects in other departments. Department consent required. See Senior Project Director for permission. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.",4338,(2),CSCI,) Software Project Management
"Presents a broad range of system measurement and modeling techniques, emphasizing applications to computer systems. Topics include system measurement, work load characterization, and analysis of data; design of experiments; simulation; and queuing theory and queuing network models. Same as CSCI 4753. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5753,(3),CSCI,) Computer Performance Modeling
"Develops a firm understanding of the general principles of computer animation. Lectures cover the creation of models, materials, textures, surfaces, and lighting. Path and key frame animation, particle dynamics, and rendering are introduced. Students are assigned a number of animation tutorials to carry out. Same as CSCI 4809 and ATLS 4809/5809. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.",Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,5809,(3),CSCI,) Computer Animation
"Topics include matching and network flows, matroids, computational geometry, parallel computation (PRAM, hypercube, mesh). Also includes Vlsi, database theory, distributed computation, cryptography, robotics, scheduling, probabilistic algorithms, approximation algorithms, average case, and amortized analysis, time permitting. Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.",Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.,6454,(3),CSCI,) Advanced Algorithms
"Provides an opportunity for senior computer science majors to conduct exploratory research in computer science. Department enforced restriction, successful completion of a minimum of 36 credit hours of Computer Science coursework and WRTG 3030. May be repeated up to 8 total credit hours. Requisites: Requires a prerequisite or corequisite course of CSCI 3100 (minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior).","Requisites: Requires a prerequisite or corequisite course of CSCI 3100 (minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior).",4950,(2-4),CSCI,) Senior Thesis
"Provides an opportunity for senior Computer Science majors to complete an honors thesis by conducting exploratory research in computer science. Department enforced requisites: successful completion of a minimum of 36 credit hours of Computer Science Foundation, Track Foundation, Track Core and Computer Science electives and a writing requirement. May be repeated up to 8 total credit hours. Requisites: Restricted to students with 87-180 credits (Senior, Fifth Year Senior).","Requisites: Restricted to students with 87-180 credits (Senior, Fifth Year Senior).",4960,(2-4),CSCI,) Computer Science Honors Thesis
