id,department,number,credits,name,prerequisites,description
11,CSCI,1220,(4),) Virtual Worlds: An Introduction to Computer Science,,
12,CSCI,1240,(3),) The Computational World,,
13,CSCI,6454,(3),) Advanced Algorithms,Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.,"Topics include matching and network flows, matroids, computational geometry, parallel computation (PRAM, hypercube, mesh). Also includes Vlsi, database theory, distributed computation, cryptography, robotics, scheduling, probabilistic algorithms, approximation algorithms, average case, and amortized analysis, time permitting. Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only."
14,CSCI,6622,(3),) Advanced Machine Learning,Requisites: Restricted to graduate students only.,"Covers advanced theoretical and practical topics in machine learning and latest developments in the field. Students conduct original research, either applied or theoretical, and present their results. Recommended prereq., CSCI 5622 or instructor consent required. Requisites: Restricted to graduate students only."
15,CSCI,4273,(3),) Network Systems,Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C-).,"Focuses on design and implementation of network programs and systems, including topics in network protocols, file transfer, client-server computing, remote procedure call, and other contemporary network system design and programming techniques. Familiarity with C and Unix is required. Same as CSCI 5273 and ECEN 5273. Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C-)."
16,CSCI,4302,(3),) Advanced Robotics,Requisites: Requires prerequisite course of CSCI 3302 (minimum grade C-).,Exposes students to current research topics in the field of robotics and provides hands-on experience in solving a grand challenge program. Same as CSCI 5302. Requisites: Requires prerequisite course of CSCI 3302 (minimum grade C-).
17,CSCI,5573,(3),) Advanced Operating Systems,Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Intended to create a foundation for operating systems research or advanced professional practice. Examines the design and implementation of a number of research and commercial operating systems and their components, system organization and structure, threads, communication and synchronization, virtual memory, distribution, file systems, security and authentication, availability, and Internet services. Department enforced prereq., equivalent undergraduate coursework in operating systems and computer architecture, or instructor consent. Same as ECEN 5573. Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
18,CSCI,5135,(3),) Computer-Aided Verification,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Covers two-level and multilevel minimization, optimization via expert systems, algebraic and Boolean decomposition, layout methodologies, state assignment, encoding and minimization, silicon compilation. Recommended prereqs., ECEN 2703 and general proficiency in discrete mathematics and programming. Same as ECEN 5139. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
19,CSCI,5229,(3),) Computer Graphics,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Studies design, analysis, and implementation of computer graphics techniques. Topics include interactive techniques, 2D and 3D viewing, clipping, segmentation, translation, rotation, and projection. Also involves removal of hidden edges, shading, and color.  Knowledge of basic linear algebra is required.  Same as CSCI 4229. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
20,CSCI,1300,(4),) Computer Science 1: Starting Computing,Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).,Teaches techniques for writing computer programs in higher level programming languages to solve problems of interest in a range of application domains. This class is intended for students with little to no experience in computing or programming. Credit not granted for this class and CSCI 1310 or CSCI 1320 or ECEN 1310. Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).
21,CSCI,1310,(4),) Computer Science 1: Starting Computing - Experienced,Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-).,"Intended for students with some prior experience in programming and basic knowledge of variables, conditionals, and loops. Teaches techniques for writing computer programs in higher level programming languages to solve problems of interest in a range of application domains. Credit not granted for this course and CSCI 1300  or CSCI 1320 or ECEN 1310. Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-)."
22,CSCI,6676,(3),) Numerical Methods for Unconstrained Optimization,Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to graduate students only.,"Looks at modern computational methods for solution of unconstrained optimization problems, nonlinear leastsquares, and systems of nonlinear equations. Techniques for building algorithms to solve problems with special structure. Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to graduate students only."
23,CSCI,6686,(3),) Numerical Methods for Constrained Optimization,Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to graduate students only.,"Covers computational methods for constrained optimization. Topics include basic theory, methods for quadratic programming, active set strategies for linear constraints, and penalty and successive quadratic programming methods for nonlinearly constrained problems. Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to graduate students only."
24,CSCI,4308,(4),) Software Engineering Project 1,"Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Advanced practicum in which students design, implement, document and test software systems for use in industry, non-profits, government and research institutions. Also offers extensive experience in oral and written communication throughout the development process.  Department enforced restriction, successful completion of a minimum of 36 credit hours of Computer Science coursework and approved WRTG are required to enroll. Recommended prereq., CSCI 4448. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only."
25,CSCI,4314,(3),) Algorithms for Molecular Biology,Requisites: Requires a prerequisite course of CSCI 3104 (minimum grade C-).,"Surveys molecular biology and combinatorial algorithms used to understand DNA, RNA, and proteins. Students work in groups to define and tackle meaningful biological problems and learn to collaborate effectively with scientists in other disciplines. Recommended prereq., comfort with mathematics and/or programming experience, and more advanced understanding (upper undergraduate level) of any relevant discipline. Same as CSCI 5314, MCDB 4314 and MCDB 5314. Requisites: Requires a prerequisite course of CSCI 3104 (minimum grade C-)."
26,CSCI,5576,(4),) High-Performance Scientific Computing,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Introduces computing systems, software, and methods used to solve large-scale problems in science and engineering. Students use high-performance workstations and a supercomputer. First course in a two-semester sequence. Same as CSCI 4576. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
65,CSCI,4448,(3),) Object-Oriented Analysis and Design,Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-).,"An applied analysis and design class addressing the use of object-oriented techniques. Topics include domain modeling, use cases, architectural design, and modeling notations. Students apply the techniques in analysis and design projects.  Same as CSCI 5448. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-)."
27,CSCI,5593,(3),) Advanced Computer Architecture,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Provides a broad-scope treatment of important concepts in the design and implementation of high-performance computer systems. Discusses important issues in the pipelining of a machine and the design of cache memory systems. Also studies current and historically important computer architectures. Recommended prereq., CSCI 4593 or instructor consent required. Same as ECEN 5593. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
28,CSCI,5239,(3),) Advanced Computer Graphics,Requisites: Requires prerequisite course of CSCI 5229 (minimum grade B). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Studies design, analysis and implementation of advanced computer graphics techniques. Topics include shaders, using the GPU for high performance computing, graphics programming on embedded devices such as mobile phones; advanced graphics techniques such as ray tracing. Same as CSCI 4239. Requisites: Requires prerequisite course of CSCI 5229 (minimum grade B). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
29,CSCI,5250,(3),) Computer Science: the Canon,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Explores the ""great works"" of computer science through intensive reading and discussion. Readings include works by Babbage, Turing, Von Neumann, Goedel, Shannon and Minsky, among others. CSCI 5250 does not count toward breadth requirement for Computer Science MS/ME degree. Same as CSCI 4250. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
30,CSCI,1320,(4),) Computer Science 1: Starting Computing-Engineering Applications,Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-). Restricted to College of Engineering or Computer Science (CSEN) or Pre-Engineering Arts and Science (PREN) majors only.,"Intended for students with no prior experience in programming. Class outcomes and goals are identical to CSCI 1300, but uses problems and tools from Engineering. Teaching techniques for writing computer programs in higher level programming languages to solve problems of interest in Engineering and other domains. Credit not granted for this course and CSCI 1300 or CSCI 1310 or ECEN 1310. Requisites: Requires a prerequisite or corequisite course of MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (all minimum grade C-). Restricted to College of Engineering or Computer Science (CSEN) or Pre-Engineering Arts and Science (PREN) majors only."
31,CSCI,2270,(4),) Computer Science 2: Data Structures,Requisites: Requires prerequisite courses of CSCI 1300 or CSCI 1310 or CSCI 1320 or ECEN 1030 or ECEN 1310 and APPM 1345 or APPM 1350 or MATH 1300 or MATH 1310 (all minimum grade C-).,"Studies data abstractions (e.g., stacks, queues, lists, trees) and their representation techniques (e.g., linking, arrays). Introduces concepts used in algorithm design and analysis including criteria for selecting data structures to fit their applications. Requisites: Requires prerequisite courses of CSCI 1300 or CSCI 1310 or CSCI 1320 or ECEN 1030 or ECEN 1310 and APPM 1345 or APPM 1350 or MATH 1300 or MATH 1310 (all minimum grade C-)."
32,CSCI,6800,(1-6),) Master of Engineering Project,Requisites: Restricted to graduate student Computer Sciences (CSEN) students only.,"Students seeking the master of engineering degree must complete a creative investigation project, including a written report, supervised by a member of the graduate faculty. Department enforced prereq., completion of 21 hours towards the ME degree. Requisites: Restricted to graduate student Computer Sciences (CSEN) students only."
33,CSCI,6810,(1),) Seminar in Computational Biology,,
34,CSCI,4318,(4),) Software Engineering Project 2,Requisites: Requires prerequisite course of CSCI 4308 (minimum grade C-).,Second semester of an advanced practicum in computer science. Students must take CSCI 4308 and 4318 contiguously as the project spans the entire academic year. Requisites: Requires prerequisite course of CSCI 4308 (minimum grade C-).
35,CSCI,4328,(4),) Software Project Management and Mentoring,"Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Review software project management and discuss the latest approaches, methodologies and standards of software development. Learn to develop software quality, documentation, testing, and prototype goals. Study project risk management and cost estimation approaches. Experience mentoring Senior Software Project Team. This course is intended for professional software developers. Department consent required. See Senior Project Director for permission. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only."
36,CSCI,5606,(3),) Principles of Numerical Computation,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Highlights computer arithmetic, solution of linear systems, least-squares approximations, nonlinear algebraic equations, interpolation, and quadrature. Recommended prereqs., CSCI 3656 and three semesters of calculus, or equivalent. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
37,CSCI,5608,(3),) Software Project Management,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Presents topics and techniques critical to the management of software product development, including estimating, planning, quality, tracking, reporting, team organization, people management, and legal issues. Gives special attention to problems unique to software projects. Recommended prereqs., ECEN 4583, CSCI 5548 and 4318, or equivalent industrial experience. Same as ECEN 5603 and EMEN 5031. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
38,CSCI,5253,(3),") Datacenter Scale Computing - Methods, Systems and Techniques",Requisites: Restricted to graduate student Computer Sciences (CSEN) students only.,"Covers the primary problem solving strategies, methods and tools needed for data-intensive programs using large collections of computers typically called ""warehouse scale"" or ""data-center scale"" computers. The course examines methods and algorithms for processing data-intensive applications, methods for deploying and managing large collections of computers in an on-demand infrastructure and issues of large-scale computer system design. Recommended prerequisite: CSCI 4273/5273. Same as CSCI 4253. Requisites: Restricted to graduate student Computer Sciences (CSEN) students only."
39,CSCI,5254,(3),) Convex Optimization and Its Applications,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Discuss basic convex analysis (convex sets, functions and optimization problems), optimization theory (linear, quadratic, semidefinite and geometric programming; optimality conditions and duality theory), some optimization algorithms (descent methods and interior-point methods), basic applications (in signal processing, control, communications, networks, statistics, machine learning, circuit design and mechanical engineering, etc.), and some advanced topics (distributed decomposition, exact convex relaxation, parsimonious recovery). Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
40,CSCI,2400,(4),) Computer Systems,Requisites: Requires prerequisite course of CSCI 2270 and a prereq or coreq course of CSCI 2824 or MATH 2001 or ECEN 2703 or APPM 3170 (minimum grade C-).,"Covers how programs are represented and executed by modern computers, including low-level machine representations of programs and data, an understanding of how computer components and the memory hierarchy influence performance. Requisites: Requires prerequisite course of CSCI 2270 and a prereq or coreq course of CSCI 2824 or MATH 2001 or ECEN 2703 or APPM 3170 (minimum grade C-)."
41,CSCI,2820,(3),) Linear Algebra with Computer Science Applications,Requisites: Requires prerequisite courses of CSCI 2270 and APPM 1360 or MATH 2300 (all minimum grade C-).,"Introduces the fundamentals of linear algebra in the context of computer science applications.  Includes vector spaces, matrices, linear systems, and eigenvalues.  Includes the basics of floating point computation and numerical linear algebra. Requisites: Requires prerequisite courses of CSCI 2270 and APPM 1360 or MATH 2300 (all minimum grade C-)."
42,CSCI,6940,(1),) Master's Degree Candidacy,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,For students who need to be registered for the purpose of taking the master's comprehensive exam and who are not otherwise registered. Credit does not count toward degree requirements. Graded on a pass/fail basis.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.
43,CSCI,6950,(1-6),) Master's Thesis,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.
44,CSCI,4338,(2),) Software Project Management,"Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Review software project management and discuss the latest approaches, methodologies and standards of software development. Learn to develop software quality, documentation, testing, and prototype goals. Study project risk management and cost estimation approaches. This course is intended for double majors doing interdisciplinary projects in other departments. Department consent required. See Senior Project Director for permission. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only."
45,CSCI,4348,(4),) Startup Essentials: Entrepreneurial Projects in Computing,"Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only.","Provide Computer Science students with the tools to be successful technical co-founders of their own startups. We will explore the initial stages of founding a startup, including team formation, idea validation, pivoting and pitching, while employing an iterative methodology. Student teams will develop a minimum viable product, pitch their final startup concept, and be evaluated on product/market fit. Department enforced restriction: successful completion of a minimum of 36 credit hours of Computer Science coursework and approved WRTG are required to enroll. Formerly CSCI 4000. Similiar to CSCI 5340. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 3308 (all minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior) Computer Science (CSEN) majors or Computer Science Concurrent Degree majors only."
46,CSCI,5622,(3),) Machine Learning,Requisites: Requires prerequisite courses of CSCI 2400 and CSCI 3104 (all minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Trains students to build computer systems that learn from experience. Includes the three main subfields: supervised learning, reinforcement learning and unsupervised learning. Emphasizes practical and theoretical understanding of the most widely used algorithms (neural networks, decision trees, support vector machines, Q-learning). Covers connections to data mining and statistical modeling. A strong foundation in probability, statistics, multivariate calculus, and linear algebra is highly recommended. Requisites: Requires prerequisite courses of CSCI 2400 and CSCI 3104 (all minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
47,CSCI,5636,(3),) Numerical Solution of Partial Differential Equations,Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.only.,"Focuses on finite difference solution for partial differential equations, methods of SoR, ADI, conjugate gradients, finite element method, nonlinear problems, and applications. Requisites: Requires prerequisite course of CSCI 5606 (minimum grade B). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.only."
48,CSCI,5273,(3),) Network Systems,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Focuses on design and implementation of network programs and systems, including topics in network protocols, file transfer, client-server computing, remote procedure call, and other contemporary network system design and programming techniques. Familiarity with C and Unix is required. Same as CSCI 4273 and ECEN 5273. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
49,CSCI,5302,(3),) Advanced Robotics,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Exposes students to current research topics in the field of robotics and provides hands-on experience in solving a grand challenge program.  Recommended prereq., CSCI 3302 or instructor consent required. Same as CSCI 4302. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
50,CSCI,2824,(3),) Discrete Structures,Requisites: Requires prerequisite or corequisite course of CSCI 2270 and a prerequisite course of MATH 1300 or MATH 1310 or APPM 1350 or APPM 1345 (minimum grade C-).,"Covers foundational materials for computer science that is often assumed in advanced courses. Topics include set theory, Boolean algebra, functions and relations, graphs, propositional and predicate calculus, proofs, mathematical induction, recurrence relations, combinatorics, discrete probability. Focuses on examples based on diverse applications of computer science. Requisites: Requires prerequisite or corequisite course of CSCI 2270 and a prerequisite course of MATH 1300 or MATH 1310 or APPM 1350 or APPM 1345 (minimum grade C-)."
51,CSCI,2830,(1-3),) Special Topics in Computer Science,,
52,CSCI,2900,(1-3),") Lower Division, Undergraduate Level Independent Study",,
53,CSCI,7000,(1-4),) Current Topics in Computer Science,Requisites: Restricted to graduate students only.,Covers research topics of current interest in computer science that do not fall into a standard subarea. May be repeated up to 8 total credit hours. Requisites: Restricted to graduate students only.
54,CSCI,7123,(3),) Topics in Operating Systems,Requisites: Requires prerequisite course of CSCI 5573 (minimum grade B). Restricted to graduate students only.,"Topics selected by instructor. Possible topics are system design, measurement and evaluation, simulation, mathematical modeling, and parallelism. Requisites: Requires prerequisite course of CSCI 5573 (minimum grade B). Restricted to graduate students only."
55,CSCI,4413,(3),) Computer Security and Ethical Hacking,Requisites: Requires prerequisite courses of CSCI 2400 and CSCI 4273 (all minimum grade C-).,"Teaches basic exploit design and development through hands-on experimentation and testing. Uses a controlled environment to give students a ""playground"" in which to test penetration skills that are normally not allowed on live networks. Same as CSCI 5413. Requisites: Requires prerequisite courses of CSCI 2400 and CSCI 4273 (all minimum grade C-)."
56,CSCI,4446,(3),) Chaotic Dynamics,Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 and APPM 2350 or MATH 2400 (all minimum grade C-).,"Explores chaotic dynamics theoretically and through computer simulations. Covers the standard computational and analytical tools used in nonlinear dynamics and concludes with an overview of leading-edge chaos research. Topics include time and phase-space dynamics, surfaces of section, bifurcation diagrams, fractal dimension, and Lyapunov exponents.  Recommended prereqs., PHYS 1120, CSCI 3656, and MATH 3130. Same as CSCI 5446 and ECEN 4423. Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 and APPM 2350 or MATH 2400 (all minimum grade C-)."
57,CSCI,5646,(3),) Numerical Linear Algebra,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Offers direct and iterative solutions of linear systems. Also covers eigen value and eigenvector calculations, error analysis, and reduction by orthogonal transformation. A sound knowledge of basic linear algebra, experience with numerical computation, and programming experience is required. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
58,CSCI,5654,(3),) Linear Programming,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Presents algorithms, simplex, and modifications. Examines theory---duality and complementary slackness. Involves network flow algorithms. Introduces integer programming. Department enforced prereq., linear algebra. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
59,CSCI,5314,(3),) Algorithms for Molecular Biology,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Surveys molecular biology and combinatorial algorithms used to understand DNA, RNA, and proteins. Students work in groups to define and tackle meaningful biological problems and learn to collaborate effectively with scientists in other disciplines. Same as CSCI 4314 and MCDB 5314. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
60,CSCI,5340,(3),) Startup Essentials: Entrepreneurial Projects in Computing,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Provides students with the tools to be successful technical co-founders of their own startups. We will explore the initial stages of founding a startup, including team formation, idea validation, pivoting and pitching, while employing an iterative methodology. Student teams will develop a minimum viable product, pitch their final startup concept, and be evaluated on product/market fit. CS coding concepts relevant for startups, including potentially cloud programming, mobile programming and agile software engineering, will be taught. Does not satisfy breadth requirement. Similiar to CSCI 4348. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
61,CSCI,3002,(3),) HCC Foundations/User-Centered Design and Development 1,"Requisites: Restricted to students with 27-180 credits (Sophomores, Juniors or Seniors) only.","Introduces the practice and research of human-centered computing, including the evolution of human-computer interaction to its forms today and the techniques of user-centered design. The course will survey topics that include social computing; tangible computing; mobility; and more. It will cover computing in society at large with respect to domains such as health, education, assistive technology, emergency response, and environment. Requisites: Restricted to students with 27-180 credits (Sophomores, Juniors or Seniors) only."
